shot_id,game_date,action_type,loc_x,loc_y,total_seconds_remaining,period,playoffs,season,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,opponent,Home_vs_Away,lat,lon
74,11/7/2000,Jump Shot,51,57,160,2,0,2000-01,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,HOU,Away,33.9873,-118.2188
75,11/7/2000,Jump Shot,167,190,10,2,0,2000-01,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,HOU,Away,33.8543,-118.1028
77,11/7/2000,Jump Shot,16,57,550,3,0,2000-01,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,HOU,Away,33.9873,-118.2538
78,11/7/2000,Jump Shot,-84,110,444,3,0,2000-01,13,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,HOU,Away,33.9343,-118.3538
79,11/7/2000,Jump Shot,-71,42,1,3,0,2000-01,8,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,HOU,Away,34.0023,-118.3408
82,11/7/2000,Jump Shot,1,156,46,4,0,2000-01,15,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,HOU,Away,33.8883,-118.2688
83,11/8/2000,Jump Shot,132,211,701,1,0,2000-01,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,SAS,Away,33.8333,-118.1378
84,11/8/2000,Slam Dunk Shot,-8,4,659,1,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SAS,Away,34.0403,-118.2778
93,11/8/2000,Jump Shot,110,76,657,2,0,2000-01,13,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SAS,Away,33.9683,-118.1598
94,11/8/2000,Jump Shot,132,87,577,2,0,2000-01,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SAS,Away,33.9573,-118.1378
98,11/8/2000,Jump Shot,-193,150,53,2,0,2000-01,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,SAS,Away,33.8943,-118.4628
100,11/8/2000,Jump Shot,39,9,686,3,0,2000-01,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,SAS,Away,34.0353,-118.2308
101,11/8/2000,Jump Shot,24,150,560,3,0,2000-01,15,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,SAS,Away,33.8943,-118.2458
105,11/8/2000,Jump Shot,119,19,180,3,0,2000-01,12,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SAS,Away,34.0253,-118.1508
106,11/8/2000,Jump Shot,-193,42,48,3,0,2000-01,19,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,SAS,Away,34.0023,-118.4628
107,11/8/2000,Jump Shot,-166,55,21,3,0,2000-01,17,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,SAS,Away,33.9893,-118.4358
108,11/8/2000,Jump Shot,24,116,639,4,0,2000-01,11,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,SAS,Away,33.9283,-118.2458
109,11/8/2000,Jump Shot,-65,156,428,4,0,2000-01,16,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,SAS,Away,33.8883,-118.3348
111,11/8/2000,Jump Shot,-58,76,314,4,0,2000-01,9,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,SAS,Away,33.9683,-118.3278
112,11/8/2000,Jump Shot,-37,70,218,4,0,2000-01,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,SAS,Away,33.9743,-118.3068
114,11/12/2000,Jump Shot,-94,188,669,1,0,2000-01,21,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,HOU,Home,33.8563,-118.3638
115,11/12/2000,Driving Layup Shot,0,0,617,1,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,Home,34.0443,-118.2698
116,11/12/2000,Reverse Layup Shot,0,0,563,1,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,Home,34.0443,-118.2698
117,11/12/2000,Tip Shot,0,0,561,1,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,Home,34.0443,-118.2698
120,11/12/2000,Jump Shot,85,141,21,1,0,2000-01,16,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,HOU,Home,33.9033,-118.1848
129,11/12/2000,Jump Shot,-84,133,274,3,0,2000-01,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,HOU,Home,33.9113,-118.3538
130,11/12/2000,Jump Shot,-178,-8,231,3,0,2000-01,17,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,HOU,Home,34.0523,-118.4478
131,11/12/2000,Jump Shot,16,89,220,3,0,2000-01,9,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,HOU,Home,33.9553,-118.2538
134,11/12/2000,Jump Shot,-170,13,125,3,0,2000-01,17,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,HOU,Home,34.0313,-118.4398
135,11/12/2000,Jump Shot,-119,133,14,3,0,2000-01,17,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,HOU,Home,33.9113,-118.3888
136,11/12/2000,Jump Shot,9,40,652,4,0,2000-01,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,HOU,Home,34.0043,-118.2608
137,11/12/2000,Jump Shot,-84,82,394,4,0,2000-01,11,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,HOU,Home,33.9623,-118.3538
138,11/12/2000,Jump Shot,9,59,297,4,0,2000-01,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,HOU,Home,33.9853,-118.2608
142,11/12/2000,Tip Shot,0,0,63,4,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,Home,34.0443,-118.2698
143,11/14/2000,Driving Layup Shot,0,0,463,1,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,Home,34.0443,-118.2698
148,11/14/2000,Jump Shot,167,78,676,2,0,2000-01,18,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,DEN,Home,33.9663,-118.1028
149,11/14/2000,Jump Shot,108,249,619,2,0,2000-01,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,DEN,Home,33.7953,-118.1618
154,11/14/2000,Layup Shot,0,0,114,2,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,Home,34.0443,-118.2698
155,11/14/2000,Driving Layup Shot,0,0,28,2,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,Home,34.0443,-118.2698
157,11/14/2000,Jump Shot,115,169,623,3,0,2000-01,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,DEN,Home,33.8753,-118.1548
158,11/14/2000,Jump Shot,1,72,323,3,0,2000-01,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,DEN,Home,33.9723,-118.2688
164,11/14/2000,Layup Shot,0,0,337,4,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,Home,34.0443,-118.2698
167,11/16/2000,Jump Shot,-117,184,667,1,0,2000-01,21,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,SAC,Away,33.8603,-118.3868
168,11/16/2000,Jump Shot,-168,-2,533,1,0,2000-01,16,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,SAC,Away,34.0463,-118.4378
169,11/16/2000,Jump Shot,70,36,496,1,0,2000-01,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,SAC,Away,34.0083,-118.1998
170,11/16/2000,Driving Layup Shot,0,0,463,1,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SAC,Away,34.0443,-118.2698
173,11/16/2000,Jump Shot,163,116,65,1,0,2000-01,20,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,SAC,Away,33.9283,-118.1068
176,11/16/2000,Jump Shot,91,156,52,2,0,2000-01,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,SAC,Away,33.8883,-118.1788
177,11/16/2000,Jump Shot,134,93,19,2,0,2000-01,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,SAC,Away,33.9513,-118.1358
178,11/16/2000,Jump Shot,47,477,0,2,0,2000-01,47,0,3PT Field Goal,Back Court(BC),Backcourt,Back Court Shot,SAC,Away,33.5673,-118.2228
179,11/16/2000,Jump Shot,11,137,532,3,0,2000-01,13,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,SAC,Away,33.9073,-118.2588
180,11/16/2000,Jump Shot,199,13,175,3,0,2000-01,19,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,SAC,Away,34.0313,-118.0708
181,11/16/2000,Jump Shot,77,236,1,3,0,2000-01,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,SAC,Away,33.8083,-118.1928
183,11/16/2000,Jump Shot,11,247,558,4,0,2000-01,24,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,SAC,Away,33.7973,-118.2588
184,11/16/2000,Jump Shot,-103,230,343,4,0,2000-01,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,SAC,Away,33.8143,-118.3728
187,11/16/2000,Jump Shot,13,100,127,5,0,2000-01,10,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,SAC,Away,33.9443,-118.2568
190,11/18/2000,Jump Shot,188,177,547,1,0,2000-01,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,DEN,Away,33.8673,-118.0818
191,11/18/2000,Driving Layup Shot,0,0,495,1,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,Away,34.0443,-118.2698
194,11/18/2000,Jump Shot,-128,137,262,1,0,2000-01,18,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,DEN,Away,33.9073,-118.3978
197,11/18/2000,Jump Shot,1,93,679,2,0,2000-01,9,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,DEN,Away,33.9513,-118.2688
200,11/18/2000,Jump Shot,167,0,21,2,0,2000-01,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,DEN,Away,34.0443,-118.1028
201,11/18/2000,Jump Shot,-162,245,677,3,0,2000-01,29,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,DEN,Away,33.7993,-118.4318
203,11/18/2000,Jump Shot,167,-6,515,3,0,2000-01,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,DEN,Away,34.0503,-118.1028
208,11/18/2000,Driving Layup Shot,0,0,670,4,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,Away,34.0443,-118.2698
213,11/18/2000,Jump Shot,-42,87,46,4,0,2000-01,9,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,DEN,Away,33.9573,-118.3118
214,11/19/2000,Jump Shot,28,247,543,1,0,2000-01,24,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,CHI,Home,33.7973,-118.2418
215,11/19/2000,Jump Shot,7,97,370,1,0,2000-01,9,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,CHI,Home,33.9473,-118.2628
217,11/19/2000,Layup Shot,0,0,13,1,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,CHI,Home,34.0443,-118.2698
219,11/19/2000,Jump Shot,115,135,363,2,0,2000-01,17,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,CHI,Home,33.9093,-118.1548
220,11/19/2000,Jump Shot,142,184,44,2,0,2000-01,23,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,CHI,Home,33.8603,-118.1278
223,11/19/2000,Jump Shot,79,163,585,3,0,2000-01,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,CHI,Home,33.8813,-118.1908
225,11/19/2000,Jump Shot,30,125,403,3,0,2000-01,12,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,CHI,Home,33.9193,-118.2398
227,11/19/2000,Driving Layup Shot,0,0,94,3,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,CHI,Home,34.0443,-118.2698
229,11/19/2000,Jump Shot,115,245,673,4,0,2000-01,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,CHI,Home,33.7993,-118.1548
230,11/19/2000,Jump Shot,-132,184,652,4,0,2000-01,22,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,CHI,Home,33.8603,-118.4018
231,11/19/2000,Driving Layup Shot,0,0,612,4,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,CHI,Home,34.0443,-118.2698
232,11/19/2000,Layup Shot,0,0,608,4,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,CHI,Home,34.0443,-118.2698
234,11/19/2000,Jump Shot,-145,108,97,4,0,2000-01,18,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,CHI,Home,33.9363,-118.4148
235,11/19/2000,Jump Shot,-208,-29,31,4,0,2000-01,21,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,CHI,Home,34.0733,-118.4778
237,11/22/2000,Jump Shot,-48,175,480,1,0,2000-01,18,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,GSW,Home,33.8693,-118.3178
238,11/22/2000,Jump Shot,-77,247,298,1,0,2000-01,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,GSW,Home,33.7973,-118.3468
240,11/22/2000,Layup Shot,0,0,140,1,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,GSW,Home,34.0443,-118.2698
250,11/22/2000,Dunk Shot,0,0,369,3,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,GSW,Home,34.0443,-118.2698
251,11/22/2000,Turnaround Jump Shot,163,7,320,3,0,2000-01,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,GSW,Home,34.0373,-118.1068
252,11/22/2000,Layup Shot,0,0,126,3,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,GSW,Home,34.0443,-118.2698
255,11/24/2000,Jump Shot,64,40,633,1,0,2000-01,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,MIN,Home,34.0043,-118.2058
262,11/24/2000,Jump Shot,73,17,653,3,0,2000-01,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,MIN,Home,34.0273,-118.1968
265,11/24/2000,Jump Shot,-132,154,384,3,0,2000-01,20,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,MIN,Home,33.8903,-118.4018
268,11/24/2000,Jump Shot,235,23,162,3,0,2000-01,23,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,MIN,Home,34.0213,-118.0348
271,11/24/2000,Running Jump Shot,127,61,590,4,0,2000-01,14,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,MIN,Home,33.9833,-118.1428
275,11/27/2000,Running Jump Shot,0,110,625,1,0,2000-01,11,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,LAC,Away,33.9343,-118.2698
277,11/27/2000,Jump Shot,127,80,377,1,0,2000-01,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,LAC,Away,33.9643,-118.1428
286,11/27/2000,Jump Shot,-63,177,684,3,0,2000-01,18,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,LAC,Away,33.8673,-118.3328
287,11/27/2000,Jump Shot,100,259,440,3,0,2000-01,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,LAC,Away,33.7853,-118.1698
289,11/27/2000,Jump Shot,153,198,222,3,0,2000-01,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,LAC,Away,33.8463,-118.1168
291,11/27/2000,Driving Layup Shot,0,0,54,3,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,LAC,Away,34.0443,-118.2698
297,11/28/2000,Jump Shot,138,110,668,2,0,2000-01,17,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,IND,Home,33.9343,-118.1318
298,11/28/2000,Jump Shot,102,137,520,2,0,2000-01,17,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,IND,Home,33.9073,-118.1678
302,11/28/2000,Jump Shot,186,17,227,2,0,2000-01,18,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,IND,Home,34.0273,-118.0838
305,11/28/2000,Jump Shot,142,245,442,3,0,2000-01,28,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,IND,Home,33.7993,-118.1278
306,11/28/2000,Jump Shot,-33,70,412,3,0,2000-01,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,IND,Home,33.9743,-118.3028
307,11/28/2000,Jump Shot,-12,42,408,3,0,2000-01,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,IND,Home,34.0023,-118.2818
308,11/28/2000,Jump Shot,121,104,298,3,0,2000-01,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,IND,Home,33.9403,-118.1488
310,11/28/2000,Jump Shot,79,163,198,3,0,2000-01,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,IND,Home,33.8813,-118.1908
311,11/28/2000,Jump Shot,-94,0,177,3,0,2000-01,9,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,IND,Home,34.0443,-118.3638
313,11/28/2000,Running Dunk Shot,0,0,75,3,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,IND,Home,34.0443,-118.2698
314,11/28/2000,Jump Shot,108,409,0,3,0,2000-01,42,0,3PT Field Goal,Back Court(BC),Above the Break 3,Back Court Shot,IND,Home,33.6353,-118.1618
315,11/28/2000,Jump Shot,-67,135,632,4,0,2000-01,15,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,IND,Home,33.9093,-118.3368
319,11/30/2000,Jump Shot,-122,15,517,1,0,2000-01,12,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,SEA,Away,34.0293,-118.3918
320,11/30/2000,Jump Shot,-101,116,430,1,0,2000-01,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,SEA,Away,33.9283,-118.3708
322,11/30/2000,Jump Shot,-50,245,24,1,0,2000-01,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,SEA,Away,33.7993,-118.3198
323,11/30/2000,Jump Shot,-150,466,0,1,0,2000-01,48,0,3PT Field Goal,Back Court(BC),Backcourt,Back Court Shot,SEA,Away,33.5783,-118.4198
324,11/30/2000,Layup Shot,-29,13,708,2,0,2000-01,3,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SEA,Away,34.0313,-118.2988
325,11/30/2000,Jump Shot,-35,19,540,2,0,2000-01,3,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SEA,Away,34.0253,-118.3048
326,11/30/2000,Jump Shot,-35,19,114,2,0,2000-01,3,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SEA,Away,34.0253,-118.3048
330,11/30/2000,Jump Shot,167,207,546,3,0,2000-01,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,SEA,Away,33.8373,-118.1028
334,12/1/2000,Jump Shot,-86,253,574,1,0,2000-01,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,SAS,Home,33.7913,-118.3558
337,12/1/2000,Jump Shot,-50,28,395,1,0,2000-01,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,SAS,Home,34.0163,-118.3198
339,12/1/2000,Jump Shot,-79,28,290,1,0,2000-01,8,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,SAS,Home,34.0163,-118.3488
341,12/1/2000,Jump Shot,18,144,153,1,0,2000-01,14,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,SAS,Home,33.9003,-118.2518
342,12/1/2000,Jump Shot,123,55,120,1,0,2000-01,13,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SAS,Home,33.9893,-118.1468
343,12/1/2000,Driving Layup Shot,0,0,7,1,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SAS,Home,34.0443,-118.2698
344,12/1/2000,Jump Shot,-170,-15,280,2,0,2000-01,17,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,SAS,Home,34.0593,-118.4398
349,12/1/2000,Jump Shot,5,198,550,3,0,2000-01,19,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,SAS,Home,33.8463,-118.2648
350,12/1/2000,Jump Shot,-149,247,387,3,0,2000-01,28,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,SAS,Home,33.7973,-118.4188
353,12/1/2000,Jump Shot,-23,40,188,3,0,2000-01,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,SAS,Home,34.0043,-118.2928
356,12/1/2000,Jump Shot,75,198,702,4,0,2000-01,21,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,SAS,Home,33.8463,-118.1948
361,12/1/2000,Jump Shot,-50,17,409,4,0,2000-01,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,SAS,Home,34.0273,-118.3198
363,12/1/2000,Jump Shot,18,209,240,4,0,2000-01,20,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,SAS,Home,33.8353,-118.2518
367,12/3/2000,Running Jump Shot,87,133,551,1,0,2000-01,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,DAL,Home,33.9113,-118.1828
